File	Type	#Aligned	All	%Mapped
POP29_77	s	833874	1057253	78.8717553887
POP29_78	s	862900	1085002	79.5298073183
POP29_79	s	869757	1083587	80.2664668365
POP29_80	s	756934	958647	78.9585739068
POP29_81	s	827133	1055058	78.3969222545
POP29_84	s	980376	1244086	78.8029123389
POP29_86	s	881458	1092003	80.7193753131
POP29_87	s	950347	1199885	79.2031736375
POP29_88	s	901584	1130826	79.7279157006
POP29_89	s	801085	981313	81.6339944544
POP29_90	s	1128901	1442870	78.2399661785
POP29_91	s	860346	1090921	78.8641890659
POP29_92	s	1145993	1444790	79.3190013774
POP29_93	s	1000863	1244311	80.4351163013
POP29_96	s	975285	1236180	78.8950638257
POP30_01	s	780020	998605	78.1109647959
POP30_02	s	723403	939539	76.9955265295
POP30_03	s	449949	579283	77.6734342282
POP30_06	s	750342	952510	78.7752359555
POP30_07	s	708047	911543	77.6756554545
POP30_08	s	627876	805795	77.9200665182
POP30_09	s	784344	995800	78.7652138984
POP30_10	s	824970	1019262	80.9379727685
POP30_12	s	782244	995307	78.5932380662
POP30_13	s	704399	888079	79.3171553432
POP30_14	s	688489	872872	78.8762842662
POP30_15	s	785778	977161	80.4143841189
POP30_16	s	698894	879949	79.4243757309
